Date,Open,High,Low,Close,Volume
20180102 093000,2686.63,2687.0,2684.75,2685.25,0
20180102 093100,2685.38,2685.38,2684.0,2684.0,0
20180102 093200,2684.25,2685.5,2684.25,2684.88,0
20180102 093300,2684.75,2684.88,2683.25,2683.25,0
20180102 093400,2683.38,2683.63,2682.5,2682.5,0
20180102 093500,2682.63,2682.75,2682.25,2682.5,0
20180102 093600,2682.75,2682.75,2681.75,2682.25,0
20180102 093700,2682.5,2683.75,2682.5,2683.75,0
20180102 093800,2683.5,2684.88,2683.5,2684.75,0
20180102 093900,2685.0,2685.75,2685.0,2685.5,0
20180102 094000,2685.75,2686.5,2685.75,2686.25,0
20180102 094100,2686.38,2686.75,2686.25,2686.5,0
20180102 094200,2686.25,2686.63,2686.25,2686.5,0
20180102 094300,2686.38,2686.5,2685.75,2686.0,0
20180102 094400,2685.75,2686.38,2685.25,2685.75,0
20180102 094500,2686.0,2686.0,2684.5,2684.5,0
20180102 094600,2684.63,2685.5,2684.63,2685.5,0
20180102 094700,2685.25,2685.38,2684.75,2685.25,0
20180102 094800,2685.5,2685.63,2685.25,2685.25,0
20180102 094900,2685.13,2685.5,2684.25,2684.25,0
20180102 095000,2683.88,2684.5,2683.5,2684.0,0
20180102 095100,2684.13,2684.5,2684.0,2684.25,0
20180102 095200,2684.5,2685.0,2684.38,2684.75,0
20180102 095300,2685.0,2685.0,2684.5,2685.0,0
20180102 095400,2684.75,2685.0,2684.5,2684.75,0
20180102 095500,2684.63,2684.75,2684.0,2684.25,0
20180102 095600,2684.38,2684.88,2684.38,2684.5,0
20180102 095700,2684.63,2685.5,2684.63,2685.25,0
20180102 095800,2685.38,2686.5,2685.25,2686.25,0
20180102 095900,2686.5,2687.5,2686.25,2687.25,0
20180102 103000,2692.0,2692.13,2691.0,2691.0,0
20180102 103100,2691.13,2691.25,2691.13,2691.25,0
20180102 103200,2691.0,2691.38,2691.0,2691.25,0
20180102 103300,2691.13,2691.25,2690.88,2691.0,0
20180102 103400,2691.13,2691.25,2691.13,2691.25,0
20180102 103500,2691.5,2692.0,2691.38,2691.75,0
20180102 103600,2691.88,2692.0,2691.88,2692.0,0
20180102 103700,2691.88,2691.88,2689.5,2689.5,0
20180102 103800,2689.25,2689.38,2687.25,2688.25,0
20180102 103900,2688.5,2689.75,2688.5,2689.75,0
20180102 104000,2689.5,2690.0,2689.0,2690.0,0
20180102 104100,2690.25,2690.63,2689.75,2690.25,0
20180102 104200,2690.0,2690.25,2689.5,2689.75,0
20180102 104300,2689.88,2690.0,2689.75,2690.0,0
20180102 104400,2690.25,2690.25,2689.63,2689.75,0
20180102 104500,2689.88,2690.25,2689.88,2690.25,0
20180102 104600,2690.0,2690.0,2689.75,2689.75,0
20180102 104700,2690.0,2690.25,2690.0,2690.25,0
20180102 104800,2690.0,2690.25,2690.0,2690.0,0
20180102 104900,2690.13,2690.38,2689.88,2690.25,0
20180102 105000,2690.5,2690.5,2690.25,2690.25,0
20180102 105100,2690.38,2690.63,2690.25,2690.25,0
20180102 105200,2690.38,2690.63,2690.38,2690.5,0
20180102 105300,2690.75,2690.75,2690.5,2690.75,0
20180102 105600,2690.63,2690.63,2690.5,2690.5,0
20180102 105700,2690.63,2690.75,2690.5,2690.5,0
20180102 105900,2690.38,2690.5,2690.25,2690.5,0
20180102 113000,2689.38,2689.5,2689.25,2689.5,0
20180102 113100,2689.25,2689.25,2689.0,2689.0,0
20180102 113200,2688.88,2689.0,2688.75,2688.75,0
20180102 113300,2688.5,2688.75,2688.5,2688.75,0
20180102 113400,2688.88,2689.0,2688.88,2689.0,0
20180102 113500,2688.75,2689.0,2688.75,2688.75,0
20180102 113600,2688.63,2688.63,2688.5,2688.5,0
20180102 113800,2688.25,2688.25,2688.0,2688.0,0
20180102 113900,2688.13,2688.5,2688.13,2688.25,0
20180102 114000,2688.0,2688.13,2687.75,2687.75,0
20180102 114100,2688.0,2688.0,2687.75,2688.0,0
20180102 114200,2688.25,2688.25,2687.75,2687.75,0
20180102 114400,2688.0,2688.0,2688.0,2688.0,0
20180102 114500,2687.75,2687.75,2687.75,2687.75,0
20180102 114600,2687.63,2688.25,2687.5,2688.25,0
20180102 114700,2688.38,2688.38,2688.25,2688.25,0
20180102 114800,2688.38,2689.0,2688.38,2689.0,0
20180102 114900,2688.75,2689.13,2688.75,2689.0,0
20180102 115000,2688.88,2689.0,2688.5,2688.75,0
20180102 115100,2688.63,2688.75,2688.5,2688.5,0
20180102 115200,2688.75,2689.0,2688.75,2689.0,0
20180102 115400,2688.88,2689.25,2688.88,2689.25,0
20180102 115500,2689.0,2689.25,2689.0,2689.25,0
20180102 115600,2689.13,2689.13,2688.75,2689.0,0
20180102 115700,2689.25,2689.25,2689.0,2689.25,0
20180102 115800,2689.38,2689.5,2689.0,2689.25,0
20180102 115900,2689.0,2689.25,2689.0,2689.25,0
20180102 123000,2689.88,2690.0,2689.75,2690.0,0
20180102 123100,2690.25,2690.25,2690.25,2690.25,0
20180102 123200,2690.0,2690.0,2690.0,2690.0,0
20180102 123500,2690.13,2690.25,2689.5,2689.5,0
20180102 123700,2689.25,2689.25,2689.25,2689.25,0
20180102 123800,2689.38,2689.5,2689.25,2689.25,0
20180102 123900,2689.38,2689.75,2689.38,2689.75,0
20180102 124000,2689.5,2689.63,2689.5,2689.5,0
20180102 124100,2689.25,2689.25,2689.25,2689.25,0
20180102 124200,2689.0,2689.13,2688.75,2688.75,0
20180102 124300,2688.5,2688.75,2688.5,2688.75,0
20180102 124400,2688.5,2688.75,2688.5,2688.75,0
20180102 124500,2688.63,2688.75,2688.5,2688.75,0
20180102 124600,2688.5,2688.5,2688.5,2688.5,0
20180102 124700,2688.75,2688.75,2688.75,2688.75,0
20180102 124800,2688.5,2688.75,2688.5,2688.75,0
20180102 124900,2688.5,2688.5,2688.5,2688.5,0
20180102 125000,2688.63,2688.63,2688.5,2688.5,0
20180102 125100,2688.63,2689.0,2688.5,2689.0,0
20180102 125200,2688.88,2688.88,2688.5,2688.5,0
20180102 125300,2688.75,2688.75,2688.75,2688.75,0
20180102 125400,2688.88,2688.88,2688.5,2688.75,0
20180102 125800,2688.63,2688.75,2688.5,2688.5,0
20180102 125900,2688.63,2689.0,2688.63,2689.0,0
20180102 133000,2690.38,2690.38,2690.25,2690.25,0
20180102 133300,2690.38,2690.5,2690.38,2690.5,0
20180102 133400,2690.63,2690.75,2690.5,2690.75,0
20180102 133500,2690.63,2690.75,2690.5,2690.75,0
20180102 133600,2690.88,2691.0,2690.75,2691.0,0
20180102 133700,2690.88,2690.88,2690.75,2690.75,0
20180102 133800,2691.0,2691.0,2690.75,2690.75,0
20180102 134000,2691.0,2691.0,2690.75,2690.75,0
20180102 134100,2691.0,2691.0,2690.75,2691.0,0
20180102 134200,2690.75,2691.0,2690.75,2691.0,0
20180102 134500,2690.88,2690.88,2690.75,2690.75,0
20180102 134700,2690.63,2690.63,2690.5,2690.5,0
20180102 135200,2690.38,2690.38,2690.25,2690.25,0
20180102 135300,2690.13,2690.13,2690.0,2690.0,0
20180102 135400,2689.75,2689.75,2689.75,2689.75,0
20180102 135500,2689.63,2689.75,2689.5,2689.75,0
20180102 135600,2689.88,2690.0,2689.75,2690.0,0
20180102 135800,2690.25,2690.25,2690.0,2690.25,0
20180102 135900,2690.38,2690.5,2690.25,2690.5,0
20180102 143100,2690.63,2690.75,2690.63,2690.75,0
20180102 143200,2691.0,2691.0,2690.5,2690.5,0
20180102 143500,2690.25,2690.5,2690.25,2690.5,0
20180102 143600,2690.38,2690.5,2690.38,2690.5,0
20180102 143700,2690.25,2690.5,2690.25,2690.5,0
20180102 143800,2690.75,2690.75,2690.75,2690.75,0
20180102 143900,2690.5,2690.75,2690.5,2690.5,0
20180102 144000,2690.63,2690.75,2690.63,2690.75,0
20180102 144100,2691.0,2691.0,2691.0,2691.0,0
20180102 144200,2691.13,2691.13,2691.0,2691.0,0
20180102 144300,2691.25,2691.25,2691.0,2691.0,0
20180102 144400,2690.88,2691.0,2690.75,2690.75,0
20180102 144900,2690.63,2690.75,2690.63,2690.75,0
20180102 145100,2690.88,2691.0,2690.88,2691.0,0
20180102 145200,2690.88,2691.0,2690.75,2691.0,0
20180102 145300,2690.75,2690.75,2690.75,2690.75,0
20180102 145400,2690.88,2691.0,2690.75,2691.0,0
20180102 145500,2690.75,2690.75,2690.75,2690.75,0
20180102 145900,2691.0,2691.0,2690.75,2691.0,0
20180102 153000,2692.63,2692.75,2692.25,2692.25,0
20180102 153100,2692.5,2692.5,2692.25,2692.25,0
20180102 153200,2692.13,2692.25,2692.0,2692.0,0
20180102 153300,2691.75,2692.0,2691.75,2691.75,0
20180102 153400,2692.0,2692.0,2691.75,2691.75,0
20180102 153500,2691.5,2691.5,2691.0,2691.25,0
20180102 153600,2691.38,2691.5,2691.25,2691.5,0
20180102 153700,2691.63,2692.0,2691.63,2692.0,0
20180102 153800,2691.88,2692.0,2691.75,2692.0,0
20180102 153900,2691.75,2692.5,2691.75,2692.5,0
20180102 154000,2692.75,2692.75,2692.5,2692.75,0
20180102 154100,2692.5,2692.5,2692.5,2692.5,0
20180102 154200,2692.75,2692.75,2692.5,2692.75,0
20180102 154300,2693.0,2693.13,2693.0,2693.0,0
20180102 154400,2693.5,2693.5,2693.25,2693.5,0
20180102 154500,2693.25,2693.5,2693.25,2693.5,0
20180102 154600,2693.63,2694.0,2693.63,2693.75,0
20180102 154700,2693.88,2693.88,2693.75,2693.75,0
20180102 154800,2693.63,2693.75,2693.5,2693.5,0
20180102 154900,2693.63,2693.75,2693.63,2693.75,0
20180102 155000,2694.0,2694.5,2694.0,2694.25,0
20180102 155100,2694.5,2694.75,2694.25,2694.75,0
20180102 155200,2694.88,2694.88,2694.75,2694.75,0
20180102 155400,2694.5,2694.5,2694.5,2694.5,0
20180102 155500,2694.25,2694.5,2694.25,2694.5,0
20180102 155600,2694.75,2694.75,2694.25,2694.5,0
20180102 155700,2694.38,2694.38,2694.0,2694.0,0
20180102 155800,2694.13,2694.75,2694.0,2694.5,0
20180102 155900,2694.63,2695.75,2694.38,2695.75,0
20180103 093000,2697.13,2698.5,2697.13,2697.75,0
20180103 093100,2697.5,2698.13,2697.5,2697.88,0
20180103 093200,2697.75,2697.75,2697.13,2697.5,0
20180103 093300,2697.63,2698.5,2697.63,2698.5,0
20180103 093400,2698.25,2698.5,2698.0,2698.25,0
20180103 093500,2698.38,2699.0,2698.25,2698.5,0
20180103 093600,2698.38,2698.75,2697.75,2698.75,0
20180103 093700,2699.0,2699.25,2698.75,2699.25,0
20180103 093800,2699.38,2700.0,2699.25,2699.5,0
20180103 093900,2699.63,2701.25,2699.63,2701.0,0
20180103 094000,2701.25,2702.0,2701.25,2701.25,0
20180103 094100,2701.0,2701.38,2700.63,2700.75,0
20180103 094200,2700.63,2701.0,2700.5,2701.0,0
20180103 094300,2700.88,2701.0,2700.5,2700.5,0
20180103 094400,2700.75,2700.75,2700.5,2700.75,0
20180103 094500,2700.88,2701.0,2700.5,2700.5,0
20180103 094600,2700.63,2701.38,2700.63,2701.25,0
20180103 094700,2701.13,2701.75,2701.0,2701.75,0
20180103 094800,2701.5,2701.75,2701.5,2701.5,0
20180103 094900,2701.75,2702.0,2701.5,2702.0,0
20180103 095000,2702.13,2702.25,2701.5,2701.5,0
20180103 095100,2701.88,2702.13,2701.5,2701.5,0
20180103 095200,2701.63,2701.63,2701.25,2701.25,0
20180103 095300,2701.38,2702.88,2701.25,2702.88,0
20180103 095400,2703.0,2703.0,2702.5,2702.63,0
20180103 095500,2702.75,2702.75,2702.0,2702.0,0
20180103 095600,2702.13,2702.75,2702.0,2702.5,0
20180103 095700,2702.75,2703.0,2702.5,2703.0,0
20180103 095800,2703.38,2703.63,2703.25,2703.25,0
20180103 095900,2703.25,2703.5,2703.0,2703.0,0
20180103 103000,2706.63,2707.0,2706.5,2707.0,0
20180103 103100,2707.13,2707.5,2707.0,2707.0,0
20180103 103200,2706.88,2707.13,2706.5,2707.0,0
20180103 103300,2706.75,2707.5,2706.75,2707.25,0
20180103 103400,2707.13,2707.25,2707.13,2707.25,0
20180103 103500,2707.5,2707.5,2707.0,2707.0,0
20180103 103600,2707.25,2707.5,2707.0,2707.25,0
20180103 103700,2707.38,2708.0,2707.0,2707.0,0
20180103 103800,2707.13,2707.5,2707.0,2707.5,0
20180103 103900,2707.75,2707.75,2707.5,2707.5,0
20180103 104000,2707.38,2707.5,2707.25,2707.5,0
20180103 104100,2707.75,2707.75,2707.5,2707.75,0
20180103 104200,2708.0,2708.25,2707.88,2708.0,0
20180103 104300,2707.75,2707.75,2707.5,2707.75,0
20180103 104400,2708.0,2708.0,2708.0,2708.0,0
20180103 104500,2708.25,2708.25,2707.25,2707.5,0
20180103 104600,2707.38,2707.38,2706.5,2706.5,0
20180103 104700,2706.63,2707.0,2706.63,2707.0,0
20180103 104800,2707.13,2707.13,2706.5,2706.5,0
20180103 104900,2706.75,2707.0,2706.5,2706.5,0
20180103 105000,2706.75,2706.75,2706.5,2706.75,0
20180103 105100,2706.5,2706.75,2706.0,2706.25,0
20180103 105200,2706.5,2706.5,2705.75,2706.0,0
20180103 105300,2706.13,2706.25,2705.75,2705.75,0
20180103 105400,2705.88,2705.88,2705.63,2705.75,0
20180103 105500,2705.88,2706.25,2705.88,2706.0,0
20180103 105600,2705.88,2705.88,2705.0,2705.0,0
20180103 105700,2705.13,2705.38,2705.0,2705.25,0
20180103 105800,2705.38,2705.5,2705.25,2705.5,0
20180103 105900,2705.63,2706.0,2705.5,2706.0,0
20180103 113000,2706.88,2707.0,2706.5,2707.0,0
20180103 113100,2706.88,2706.88,2706.5,2706.75,0
20180103 113200,2706.88,2707.25,2706.75,2707.25,0
20180103 113300,2707.38,2707.5,2707.0,2707.0,0
20180103 113500,2707.13,2707.25,2707.0,2707.0,0
20180103 113600,2707.13,2707.13,2706.75,2707.0,0
20180103 113700,2706.88,2707.25,2706.75,2707.25,0
20180103 113800,2707.0,2707.0,2707.0,2707.0,0
20180103 113900,2706.75,2706.75,2706.5,2706.5,0
20180103 114000,2706.25,2706.25,2705.88,2706.0,0
20180103 114300,2706.13,2706.25,2706.0,2706.0,0
20180103 114400,2705.88,2706.0,2705.75,2706.0,0
20180103 114500,2705.88,2706.0,2705.75,2706.0,0
20180103 114600,2705.88,2706.0,2705.88,2706.0,0
20180103 114700,2706.13,2707.0,2706.13,2707.0,0
20180103 114800,2706.88,2707.5,2706.75,2707.5,0
20180103 114900,2707.38,2707.38,2707.0,2707.25,0
20180103 115000,2707.5,2707.5,2707.25,2707.25,0
20180103 115100,2707.13,2707.25,2707.0,2707.25,0
20180103 115200,2707.13,2707.13,2706.5,2706.75,0
20180103 115300,2706.63,2706.75,2706.5,2706.5,0
20180103 115400,2706.38,2706.5,2706.25,2706.5,0
20180103 115500,2706.25,2706.25,2706.25,2706.25,0
20180103 115700,2706.38,2706.63,2706.38,2706.5,0
20180103 115800,2706.38,2706.5,2706.38,2706.5,0
20180103 115900,2706.25,2706.5,2706.0,2706.0,0
20180103 123200,2708.13,2708.13,2708.0,2708.0,0
20180103 123300,2708.13,2708.25,2708.0,2708.25,0
20180103 123400,2708.13,2708.25,2708.0,2708.25,0
20180103 123500,2708.5,2708.75,2708.25,2708.75,0
20180103 123600,2708.5,2708.75,2708.5,2708.75,0
20180103 123800,2708.88,2708.88,2708.75,2708.75,0
20180103 123900,2708.88,2709.0,2708.75,2709.0,0
20180103 124000,2708.88,2709.13,2708.88,2709.0,0
20180103 124100,2709.13,2709.25,2709.0,2709.25,0
20180103 124300,2709.38,2709.5,2709.25,2709.5,0
20180103 124600,2709.75,2710.25,2709.75,2710.25,0
20180103 124700,2710.13,2710.25,2710.0,2710.0,0
20180103 124800,2710.25,2710.25,2710.25,2710.25,0
20180103 124900,2710.38,2711.25,2710.38,2710.75,0
20180103 125000,2710.5,2711.0,2710.5,2711.0,0
20180103 125100,2711.13,2711.75,2711.13,2711.75,0
20180103 125200,2711.5,2711.75,2711.5,2711.75,0
20180103 125300,2711.88,2712.0,2711.75,2712.0,0
20180103 125400,2712.13,2712.25,2712.0,2712.0,0
20180103 125500,2711.75,2712.0,2711.75,2711.75,0
20180103 125600,2711.63,2711.63,2711.25,2711.25,0
20180103 125700,2711.0,2711.0,2710.88,2711.0,0
